"questions","answers","A","B","C","D","full_sentence"
"Since the beginning of the year, the yen has risen by more than 10 percent _____ the dollar.","against","about","against","toward","regarding","Since the beginning of the year, the yen has risen by more than 10 percent against the dollar."
"In response to falling sales, Graceline Cosmetics decided to _____ prices.","lower","lower","smaller","shorter","higher","In response to falling sales, Graceline Cosmetics decided to lower prices."
"Carlson Motors announced that it will close its Nagoya plant at the _____ of July.","end","last","end","ending","final","Carlson Motors announced that it will close its Nagoya plant at the end of July."
"Please arrive a _____ minutes early so that we can start the meeting on time.","few","little","some","few","several","Please arrive a few minutes early so that we can start the meeting on time."
"Hislop Corporation is _____ of Australia's biggest construction companies.","one","first","one","between","among","Hislop Corporation is one of Australia's biggest construction companies."
"Haslam Electronics plans to open 10 more stores _____ the next 5 years.","within","until","before","by","within","Haslam Electronics plans to open 10 more stores within the next 5 years."
"Gloves must be worn when _____ this machine.","using","use","uses","using","used","Gloves must be worn when using this machine."
"Ms. Taniguchi has spent her _____ career in the tourism industry.","entire","all","entire","most","thorough","Ms. Taniguchi has spent her entire career in the tourism industry."
"Orders received by 11:00 am _____ be delivered the next business day.","will","are","have","will","would","Orders received by 11:00 am will be delivered the next business day."
"Sales figures have increased steadily _____ Ms. Kawaguchi's time as CEO.","during","at","between","under","during","Sales figures have increased steadily during Ms. Kawaguchi's time as CEO."
"Please _____ to page 12 of the employee handbook for full details.","refer","confer","consult","recur","refer","Please refer to page 12 of the employee handbook for full details."
"Construction of the new factory is due to _____ by the middle of October.","be completed","complete","will complete","be completed","have completed","Construction of the new factory is due to be completed by the middle of October."
"Ticket sales for the event were _____ lower than the organizers had expected.","significantly","mutually","significantly","strategically","efficiently","Ticket sales for the event were significantly lower than the organizers had expected."
"The new CEO has introduced a number of changes in an attempt to increase _____.","efficiency","efficient","efficiently","efficiency","inefficiency","The new CEO has introduced a number of changes in an attempt to increase efficiency."
"Total first-quarter revenue rose from $2.7 million last year to just _____ $3 million this year.","over","more","greater","over","higher","Total first-quarter revenue rose from $2.7 million last year to just over $3 million this year."
"Cohen Corporation's share price _____ after it announced higher than expected earnings.","soared","soared","subsidized","scattered","seized","Cohen Corporation's share price soared after it announced higher than expected earnings."
"Braun Motors produces more than 10,000 vehicles _____ month at its factory in Munich.","per","for","over","via","per","Braun Motors produces more than 10,000 vehicles per month at its factory in Munich."
"Alphamax Electronics is _____ stiff competition from companies in China and South Korea.","facing","heading","facing","turning","reaching","Alphamax Electronics is facing stiff competition from companies in China and South Korea."
"_____ the trip, Mr. Matsuzaka will visit factories in Guangzhou and Dalian.","During","Within","Toward","During","Between","During the trip, Mr. Matsuzaka will visit factories in Guangzhou and Dalian."
"The rising cost of components _____ had a significant effect on our profit margins.","has","is","has","was","did","The rising cost of components has had a significant effect on our profit margins."
"The survey _____ that most members of staff are dissatisfied with their working hours.","revealed","revered","revised","reviewed","revealed","The survey revealed that most members of staff are dissatisfied with their working hours."
"GDB Retail Co. is planning to hire 500 temporary workers _____ preparation for the busy Christmas period.","in","on","to","in","by","GDB Retail Co. is planning to hire 500 temporary workers in preparation for the busy Christmas period."
"_____ snow caused delays to deliveries in the Kansai region.","Heavy","Many","Hollow","Wide","Heavy","Heavy snow caused delays to deliveries in the Kansai region."
"Orders placed after 5 pm will _____ the following business day.","be processed","process","processed","be processed","processing","Orders placed after 5 pm will be processed the following business day."
"Please _____ out the attached application form.","fill","buy","fill","stand","get","Please fill out the attached application form."
"Ms. Rodriguez _____ the deal after months of negotiations.","sealed","sealed","inferred","succeeded","installed","Ms. Rodriguez sealed the deal after months of negotiations."
"In the past decade, competition in the soft drink market has become _____ fierce.","increasingly","increases","increased","increasing","increasingly","In the past decade, competition in the soft drink market has become increasingly fierce."
"The firm was _____ in Chicago in 1985.","founded","released","founded","introduced","delivered","The firm was founded in Chicago in 1985."
"_____ new employee undergoes 4 weeks of intensive training.","Every","All","Many","Every","Most","Every new employee undergoes 4 weeks of intensive training."
"By outsourcing its logistics operations, Merton Corp. was able to reduce costs _____.","substantially","separately","reluctantly","substantially","faithfully","By outsourcing its logistics operations, Merton Corp. was able to reduce costs substantially."
"So far this year, sales of electric vehicles have exceeded industry analysts' _____.","predictions","predict","predicts","predictions","predictable","So far this year, sales of electric vehicles have exceeded industry analysts' predictions."
"The release date has been brought _____ to November 2.","forward","forward","up","about","back","The release date has been brought forward to November 2."
"The rate of inflation has _____ to its highest level since 200","risen","rise","rises","rose","risen","The rate of inflation has risen to its highest level since 200"
"A strike by workers at the plant _____ up production.","held","cheered","held","picked","brought","A strike by workers at the plant held up production."
"Despite only becoming a writer four years ago, Angela Parker is _____ writing her thirteenth novel.","already","still","finally","therefore","already","Despite only becoming a writer four years ago, Angela Parker is already writing her thirteenth novel."
"The FGA Photography Contest is open to _____ amateurs and professionals.","both","whether","both","also","either","The FGA Photography Contest is open to both amateurs and professionals."
"_____ of our products come with a 2-year warranty.","All","Every","Much","All","Another","All of our products come with a 2-year warranty."
"Orders placed after 5 pm on December 20 may not be delivered _____ time for Christmas.","in","by","at","in","within","Orders placed after 5 pm on December 20 may not be delivered in time for Christmas."
"Earnings for the first half of this year _____ the expectations of industry analysts.","exceeded","bypassed","excelled","outweighed","exceeded","Earnings for the first half of this year exceeded the expectations of industry analysts."
"Since being _____ to store manager, he has been extremely busy.","promoted","promote","promoted","promoting","promotion","Since being promoted to store manager, he has been extremely busy."
"We will not _____ your personal information to third parties without your consent.","disclose","discover","discuss","disclose","discern","We will not disclose your personal information to third parties without your consent."
"_____ the recession, sales have not decreased.","Despite","Although","But","Despite","Even though","Despite the recession, sales have not decreased."
"We aim to reply to all customer inquiries _____ 24 hours.","within","in","for","before","within","We aim to reply to all customer inquiries within 24 hours."
"Please fill in the application form as fully _____ accurately as possible.","and","and","but","so","yet","Please fill in the application form as fully and accurately as possible."
"Mayweather Inc. _____ an anonymous online survey to assess employee satisfaction.","conducted","prescribed","conducted","donated","inducted","Mayweather Inc. conducted an anonymous online survey to assess employee satisfaction."
"Dewbury Corporation announced a recall of the _____ products.","defective","defect","defectiveness","defective","defectively","Dewbury Corporation announced a recall of the defective products."
"Luka Manufacturing's share price has increased by _____ 10% since the beginning of the year.","nearly","close","near","shortly","nearly","Luka Manufacturing's share price has increased by nearly 10% since the beginning of the year."
"Jeff wasn't _____ to fix the broken photocopier.","able","capable","able","incapable","unable","Jeff wasn't able to fix the broken photocopier."
"Lance Co. has received more than 100 _____ for the position.","applications","appliances","applicants","applying","applications","Lance Co. has received more than 100 applications for the position."
"Analysts estimate that Glazer Manufacturing's operating profit for the second quarter will _____ 50 million dollars.","exceed","succeed","exceed","proceed","heed","Analysts estimate that Glazer Manufacturing's operating profit for the second quarter will exceed 50 million dollars."
"The event was _____ off at the last minute.","called","cut","laid","called","finished","The event was called off at the last minute."
"The art museum is open _____ from 9 am to 5:30 pm.","daily","everyday","shortly","daily","yesterday","The art museum is open daily from 9 am to 5:30 pm."
"Mr. Dunn made a substantial _____ to the charity.","donation","donation","vocation","donor","consideration","Mr. Dunn made a substantial donation to the charity."
"I will _____ a meeting with the supplier to resolve the issue.","arrange","decide","set","prepare","arrange","I will arrange a meeting with the supplier to resolve the issue."
"The staff meeting was cancelled at _____ notice.","short","early","short","advance","quick","The staff meeting was cancelled at short notice."
"We adjourned the meeting because we were unable to reach a _____.","consensus","consensus","agreement","consideration","discussion","We adjourned the meeting because we were unable to reach a consensus."
"The CEO has called an urgent meeting that all members of staff _____ to attend.","are required","is required","requiring","are required","have required","The CEO has called an urgent meeting that all members of staff are required to attend."
"The meeting was scheduled to take place this afternoon but has been postponed _____ 11 am tomorrow.","until","at","until","for","by","The meeting was scheduled to take place this afternoon but has been postponed until 11 am tomorrow."
"Ms. Lee _____ a meeting to discuss the issue.","arranged","prepared","positioned","arranged","raised","Ms. Lee arranged a meeting to discuss the issue."
"The opening ceremony included a _____ fireworks display.","spectacular","spectacular","disappointed","provisional","diligent","The opening ceremony included a spectacular fireworks display."
"Since the beginning of the year the unemployment rate _____ by 0.8%.","has fallen","fell","has fallen","was fallen","is falling","Since the beginning of the year the unemployment rate has fallen by 0.8%."
"Please _____ me if you have any questions.","contact","report","communicate","announce","contact","Please contact me if you have any questions."
"The event that Mary had organized was a _____ success.","great","great","excellent","gifted","undoubted","The event that Mary had organized was a great success."
"Ms. Norton spoke with _____ at the conference.","confidence","confident","confidently","confidence","confide","Ms. Norton spoke with confidence at the conference."
"The new product is attracting _____ attention.","considerable","comfortable","interesting","desperate","considerable","The new product is attracting considerable attention."
"The meeting was put back _____ next week.","to","in","to","at","for","The meeting was put back to next week."
"Please note that no cameras _____ on the factory tour.","are allowed","are allowed","are allowing","are not allowed","have allowed","Please note that no cameras are allowed on the factory tour."
"The number of customer complaints was _____ higher in June than it was in May.","significantly","willingly","significantly","specifically","reluctantly","The number of customer complaints was significantly higher in June than it was in May."
"As a promotional tool, Brookman Hardware gave _____ free mugs printed with the company logo.","away","off","back","up","away","As a promotional tool, Brookman Hardware gave away free mugs printed with the company logo."
"All of our furniture _____ by skilled craftsmen.","is handcrafted","is handcrafted","handcraft","is handcrafting","are handcrafted","All of our furniture is handcrafted by skilled craftsmen."
"Ms. Reilly is on vacation _____ the next two weeks.","for","until","for","by","to","Ms. Reilly is on vacation for the next two weeks."
"Men's and women's restrooms _____ on the 1st and 3rd floors.","are located","locate","are located","have located","are locating","Men's and women's restrooms are located on the 1st and 3rd floors."
"In 2010, Lindel Technologies _____ from Seattle to San Francisco.","relocated","reformed","replaced","relocated","renovated","In 2010, Lindel Technologies relocated from Seattle to San Francisco."
"The board of directors will make its final _____ next week.","decision","decide","deciding","decision","decided","The board of directors will make its final decision next week."
"The cost of components _____ over the past 2 years.","has doubled","is doubling","has doubled","are doubling","have doubled","The cost of components has doubled over the past 2 years."
"You should receive a confirmation e-mail _____ 24 hours.","within","by","at","within","for","You should receive a confirmation e-mail within 24 hours."
"Please _____ your doctor if you experience any of the following symptoms.","consult","confirm","recommend","discuss","consult","Please consult your doctor if you experience any of the following symptoms."
"Ms. Kimura was unable to _____ the conference because of illness.","attend","go","participate","register","attend","Ms. Kimura was unable to attend the conference because of illness."
"Ms. Perez is one of Kelsen Publishing's _____ experienced members of staff.","most","most","highest","the most","the highest","Ms. Perez is one of Kelsen Publishing's most experienced members of staff."
"Parking at the venue is limited, _____ we recommend using public transport if possible.","so","so","since","because","once","Parking at the venue is limited, so we recommend using public transport if possible."
"Ms. Yamamoto is adept at _____ with customer complaints.","dealing","taking","handling","dealing","processing","Ms. Yamamoto is adept at dealing with customer complaints."
"It only _____ 20 minutes to get from the airport to the city center by taxi.","takes","travels","costs","lasts","takes","It only takes 20 minutes to get from the airport to the city center by taxi."
"Professor Alfonso Morales from Haberton University will be the keynote _____ at the conference.","speaker","speak","speech","speaker","speaking","Professor Alfonso Morales from Haberton University will be the keynote speaker at the conference."
"Successful applicants will be _____ by e-mail by August 10th.","notified","delivered","sent","transported","notified","Successful applicants will be notified by e-mail by August 10th."
"Many small bookstores have _____ to compete with large online retailers.","struggled","worried","referred","struggled","confused","Many small bookstores have struggled to compete with large online retailers."
"Bison Technologies _____ by Helmsoft Inc. in a deal worth $250 million.","was acquired","acquired","is acquiring","was acquired","has acquired","Bison Technologies was acquired by Helmsoft Inc. in a deal worth $250 million."
"The purpose of the survey is _____ customer satisfaction with Shine Electronics' after-sales service.","to evaluate","evaluate","to evaluate","evaluation","will evaluate","The purpose of the survey is to evaluate customer satisfaction with Shine Electronics' after-sales service."
"Farsight Computing announced this morning _____ it has signed a business cooperation agreement with Vistech.","that","what","that","which","about","Farsight Computing announced this morning that it has signed a business cooperation agreement with Vistech."
"Mr. Kang has _____ 10 years of experience in the pharmaceutical industry.","over","more","greater","over","higher","Mr. Kang has over 10 years of experience in the pharmaceutical industry."
"The meeting _____ was scheduled for this afternoon has been postponed to tomorrow.","that","where","that","it","who","The meeting that was scheduled for this afternoon has been postponed to tomorrow."
"Paterson Inc. is seeking interpreters who are fluent in _____ French and Spanish.","both","either","both","neither","the","Paterson Inc. is seeking interpreters who are fluent in both French and Spanish."
"Following Mr. Martin's _____, Emma Morris has been promoted to Vice President.","departure","depart","departed","has departed","departure","Following Mr. Martin's departure, Emma Morris has been promoted to Vice President."
"This watch is water resistant up to a depth _____ 100 meters.","of","by","to","of","from","This watch is water resistant up to a depth of 100 meters."
"Mr. Martinez had met Dr. Kimura _____ at a conference in Hiroshima last year.","previously","original","prior","previously","advance","Mr. Martinez had met Dr. Kimura previously at a conference in Hiroshima last year."
"The Mazemart Mall is going to be _____ down and replaced with apartments.","knocked","knock","knocking","knocked","have knocked","The Mazemart Mall is going to be knocked down and replaced with apartments."
"Consumer demand for organic fruits and vegetables has been increasing year _____ year.","by","in","by","at","from","Consumer demand for organic fruits and vegetables has been increasing year by year."
"Barrington Inc. has a _____ dress code that all employees must follow.","strict","durable","sturdy","fragile","strict","Barrington Inc. has a strict dress code that all employees must follow."
"The plans to build a new runway were _____ by local residents.","opposed","opposed","angered","offended","annoyed","The plans to build a new runway were opposed by local residents."
"Margaret was offered a full-time position after _____ her internship.","completing","complete","completed","completing","completion","Margaret was offered a full-time position after completing her internship."
"This device has a _____ of unique features.","number","many","amount","several","number","This device has a number of unique features."
"Merson Manufacturing was able to reduce costs _____ switching suppliers.","by","on","in","to","by","Merson Manufacturing was able to reduce costs by switching suppliers."
"Linda turned _____ a job offer from another company because she is happy with her current job.","down","off","on","down","over","Linda turned down a job offer from another company because she is happy with her current job."
"Mercer's Department Store usually _____ at 8 pm, but on December 23rd and 24th it will be open until 10 pm.","closes","closes","is closing","will close","was closing","Mercer's Department Store usually closes at 8 pm, but on December 23rd and 24th it will be open until 10 pm."
"Safety glasses must _____ at all times in work areas.","be worn","wearing","be worn","be wearing","have worn","Safety glasses must be worn at all times in work areas."
"The television broke just after the warranty _____.","had expired","will expire","has expired","would expire","had expired","The television broke just after the warranty had expired."
"Andrew earns 850 yen _____ hour at his part-time job.","an","a","an","the","for","Andrew earns 850 yen an hour at his part-time job."
"Please don't hesitate to _____ us if you have any questions.","contact","contact","contact to","contact with","contact at","Please don't hesitate to contact us if you have any questions."
"Mr. Martinez was promoted to vice-president a mere 18 months after _____ the company.","joining","join","joins","joining","joined","Mr. Martinez was promoted to vice-president a mere 18 months after joining the company."
"All of the proceeds from the concert will _____ to charity.","be donated","donate","be donated","donating","have donated","All of the proceeds from the concert will be donated to charity."
"Please click here if you _____ to unsubscribe from this newsletter.","wish","would","will","wish","should","Please click here if you wish to unsubscribe from this newsletter."
"Saudi Arabia is the world's leading _____ of oil.","exporter","export","exporting","exporter","exports","Saudi Arabia is the world's leading exporter of oil."
"A recent poll found that 70% of people are in _____ of the proposed tax cuts.","favor","appeal","approval","importance","favor","A recent poll found that 70% of people are in favor of the proposed tax cuts."
"Trains to the airport _____ at 15-minute intervals.","run","run","runs","is running","has been running","Trains to the airport run at 15-minute intervals."
"Articles submitted for publication in Science Research must be no more than 3000 words _____ length.","in","in","of","within","by","Articles submitted for publication in Science Research must be no more than 3000 words in length."
"Greg Smith, _____ started his first business at the age of 18, will be giving a lecture on entrepreneurship on Wednesday, March 21.","who","which","who","when","whom","Greg Smith, who started his first business at the age of 18, will be giving a lecture on entrepreneurship on Wednesday, March 21."
"The hotel room Mr. Walker stayed in was _____ furnished with just a single bed, a desk and a lamp.","simply","simple","simplicity","simpler","simply","The hotel room Mr. Walker stayed in was simply furnished with just a single bed, a desk and a lamp."
"The fake designer watches were nearly indistinguishable from the real _____.","ones","these","them","ones","those","The fake designer watches were nearly indistinguishable from the real ones."
"By the end of the course, students will be able _____ simple English texts and have basic conversations about everyday topics.","to read","read","to read","reading","have read","By the end of the course, students will be able to read simple English texts and have basic conversations about everyday topics."
"If you are _____ with your purchase for any reason, we will gladly exchange it or provide a refund.","unsatisfied","pleased","unconcerned","delighted","unsatisfied","If you are unsatisfied with your purchase for any reason, we will gladly exchange it or provide a refund."
"The job is _____ low-paid that Globo Corp. is having difficulty attracting applicants.","so","very","so","extremely","really","The job is so low-paid that Globo Corp. is having difficulty attracting applicants."
"In an _____ to keep pace with its competitors, Carter-Jones Inc. has increased its marketing budget.","attempt","accord","intention","attempt","exertion","In an attempt to keep pace with its competitors, Carter-Jones Inc. has increased its marketing budget."
"To turn off the lamp, _____ the button on the base.","press","press","pressed","pressing","presses","To turn off the lamp, press the button on the base."
"For one week _____, Good Electronics is offering a 15 percent discount on all products over 10 dollars in price.","only","ago","just","ever","only","For one week only, Good Electronics is offering a 15 percent discount on all products over 10 dollars in price."
"The unemployment rate _____ begun to fall in recent months.","has","was","did","will","has","The unemployment rate has begun to fall in recent months."
"The Art Appreciation Society holds get-togethers on average once _____ two months.","every","all","the","a","every","The Art Appreciation Society holds get-togethers on average once every two months."
"ABC Travel _____ in arranging tours to South-East Asia.","specializes","specializes","specialties","specializations","specials","ABC Travel specializes in arranging tours to South-East Asia."
"The new department store will open _____ business on Saturday, September 1.","for","as","the","for","a","The new department store will open for business on Saturday, September 1."
"Please be sure to _____ the instruction manual before using the machine.","consult","consulting","consult","consulted","consults","Please be sure to consult the instruction manual before using the machine."
"Ms. Miller's _____ experience and leadership skills make her an excellent choice for the position of vice-president of operations.","extensive","limited","extensive","meager","infamous","Ms. Miller's extensive experience and leadership skills make her an excellent choice for the position of vice-president of operations."
"The seminar is limited to a maximum of 100 participants, so please register early if you would like to take _____.","part","off","place","part","over","The seminar is limited to a maximum of 100 participants, so please register early if you would like to take part."
"There are few reasonably priced houses on the _____ in this area.","market","store","sale","market","auction","There are few reasonably priced houses on the market in this area."
"The committee has not _____ reviewed the proposed amendment to the legislation.","yet","still","before","yet","after","The committee has not yet reviewed the proposed amendment to the legislation."
"The cause of the problem was a _____ in communication between management and staff.","breakdown","wreckage","dismay","migration","breakdown","The cause of the problem was a breakdown in communication between management and staff."
"The Kyushu Times has been attracting new readers _____ Shinya Yamaguchi took over as editor.","since","if","during","since","when","The Kyushu Times has been attracting new readers since Shinya Yamaguchi took over as editor."
"A new, _____ efficient air conditioner has been installed in the office.","more","better","higher","best","more","A new, more efficient air conditioner has been installed in the office."
"Mr. Carver is a sales representative and earns a _____ salary of $2000 per month plus a 5% commission on his sales.","base","ground","foundation","bottom","base","Mr. Carver is a sales representative and earns a base salary of $2000 per month plus a 5% commission on his sales."
"The management of the store decided to hold a sale _____ reduce their inventory.","to","by","to","for","that","The management of the store decided to hold a sale to reduce their inventory."
"Please be aware that if you do not submit all of the required forms by the deadline, your application will not _____.","be considered","have considered","consider","be considered","considering","Please be aware that if you do not submit all of the required forms by the deadline, your application will not be considered."
"Flights out of New York have been cancelled _____ the heavy fog.","because of","because","even though","despite","because of","Flights out of New York have been cancelled because of the heavy fog."
"Candidates must have a _____ of 5 years experience in the publishing industry.","minimum","minimum","least","smallest","minority","Candidates must have a minimum of 5 years experience in the publishing industry."
"_____ 100 people attended the seminar on the first day.","Over","More","Over","Greater","Excess","Over 100 people attended the seminar on the first day."
"In the summer, employees do not need to wear ties _____ they are meeting clients.","unless","whether","unless","except","hence","In the summer, employees do not need to wear ties unless they are meeting clients."
"Ms. Clarkson _____ at the same company for the past 10 years.","has worked","works","has worked","will work","is working","Ms. Clarkson has worked at the same company for the past 10 years."
"We regret to inform you that your application was _____.","unsuccessful","successful","received","submitted","unsuccessful","We regret to inform you that your application was unsuccessful."
"Timesheets should _____ updated daily and submitted at the end of each month.","be","be","have","had","being","Timesheets should be updated daily and submitted at the end of each month."
"_____ the software only has basic features, it is adequate for our needs.","Although","Since","Although","Because","As long as","Although the software only has basic features, it is adequate for our needs."
"_____ to expectations, sales of e-books have fallen this year.","Contrary","In spite","Unlike","Regardless","Contrary","Contrary to expectations, sales of e-books have fallen this year."
"In a _____ 10 years, TRK Group became one of the leading players in the Spanish logistics industry.","little over","just","little over","more than","precisely","In a little over 10 years, TRK Group became one of the leading players in the Spanish logistics industry."
"Marshall Construction _____ the contract because its bid was the lowest.","was awarded","awarded","has awarded","is awarding","was awarded","Marshall Construction was awarded the contract because its bid was the lowest."
"The construction work on the street in front of the station is expected to continue _____ mid-November.","until","for","since","until","between","The construction work on the street in front of the station is expected to continue until mid-November."
"The client _____ a sample of the new product.","requested","inquired","requested","asked","contacted","The client requested a sample of the new product."
"Before _____ transferred to human resources, Peter worked in the accounts department.","being","was being","being","has been","was","Before being transferred to human resources, Peter worked in the accounts department."
"Employees are responsible for ensuring that _____ own desks are kept clean.","their","its","each","his","their","Employees are responsible for ensuring that their own desks are kept clean."
"The report is easy to understand, even for readers _____ specialist knowledge.","without","from","with","without","upon","The report is easy to understand, even for readers without specialist knowledge."
"The government has introduced tax incentives _____ the development of alternative energy sources.","to encourage","encourage","are encouraging","to encourage","will encourage","The government has introduced tax incentives to encourage the development of alternative energy sources."
"According to a _____ survey, 35 percent of small businesses with fewer than 50 employees plan to hire new staff in the coming year.","recent","recent","most recent","recently","more recently","According to a recent survey, 35 percent of small businesses with fewer than 50 employees plan to hire new staff in the coming year."
"AFG Communications Inc. sent two _____ to the job fair last week.","representatives","representative","represents","representation","representatives","AFG Communications Inc. sent two representatives to the job fair last week."
"George could _____ a fortune if he had patented his invention.","have earned","earn","have earned","be earned","having earned","George could have earned a fortune if he had patented his invention."
"The revisions proposed _____ Ms. Black were favorably received by her colleagues.","by","by","in","of","as","The revisions proposed by Ms. Black were favorably received by her colleagues."
"Please note that all bags and purses will _____ upon entry to Hampton Stadium.","be inspected","have inspected","be inspected","inspect","be inspecting","Please note that all bags and purses will be inspected upon entry to Hampton Stadium."
"Prior to _____ AEK Group, Jeff Cole was Vice-President of Sales at Alpha Com.","joining","join","joined","joins","joining","Prior to joining AEK Group, Jeff Cole was Vice-President of Sales at Alpha Com."
"The head of the human resources department called Mr. Turner to ask _____ to come in for a second interview.","him","he","him","his","himself","The head of the human resources department called Mr. Turner to ask him to come in for a second interview."
"Several changes _____ to the design at the client's request.","were made","made","were made","are making","have made","Several changes were made to the design at the client's request."
"All of our furniture is made _____ locally sourced recycled wood.","from","by","into","from","for","All of our furniture is made from locally sourced recycled wood."
"Ms. Adams _____ over the contract carefully before signing it.","went","went","handed","crossed","ran","Ms. Adams went over the contract carefully before signing it."
